Usługa,Cena_netto_zl
Wyburzanie ścian działowych,366
Poszerzanie lub zwężanie otworów drzwiowych,275
Ścianki działowe z płyt GK,275
Sufity podwieszane jednopoziomowe,270
Przenoszenie punktów hydraulicznych,230
Demontaż drzwi wewnętrznych i ościeżnic,280
Demontaż drzwi zewnętrznych,330
Demontaż ościeżnicy,170
Demontaż okna,330
Montaż drzwi wewnętrznych,650
Montaż drzwi wewnętrznych dwuskrzydłowych,760
Montaż drzwi szklanych wewnętrznych,650
Montaż drzwi zewnętrznych,800
Montaż drzwi zewnętrznych dwuskrzydłowych,950
Montaż doświetla,450
Wstawienie okna z PCV,130
Obróbka otworu okiennego,160
Montaż parapetów wewnętrznych,130
Montaż parapetów zewnętrznych,165
Nowe punkty elektryczne,190
Podłączenie oświetlenia,180
Wykonanie nowych punktów wod-kan,450
Ogrzewanie podłogowe z materiałem,450
Podejścia pod umywalki, WC, bidet, pralkę, zmywarkę,500
Montaż stelaży podtynkowych,380
Montaż misek WC i bidetów,300
Montaż wanien,550
Montaż kabin prysznicowych,600
Montaż armatury łazienkowej,300
Montaż odpływów liniowych,500
Podłączenie grzejnika,250
Usuwanie starej farby,40
Naprawy tynków,25
Mycie ścian i sufitów,18
Gruntowanie ścian i sufitów,12
Malowanie ścian,70
Malowanie dekoracyjne,180
Malowanie stolarki wewnętrznej,220
Malowanie rur i elementów metalowych,60
Malowanie rur,45
Skuwanie starych płytek,100
Usuwanie tapet,30
Tynkowanie ręczne,60
Gładzie gipsowe,75
Układanie glazury ściennej,180
Układanie terakoty,260
Okładziny drewniane,300
Okładziny drewniane lamelowe,350
Skucie płytek i oczyszczenie podłoża,100
Demontaż paneli, parkietu, wykładzin,90
Wykonywanie wylewek samopoziomujących,65
Układanie płytek podłogowych średni format,180
Układanie gresu duży format,320
Układanie mozaiki,300
Układanie wykładzin dywanowych,80
Układanie paneli podłogowych,80
Układanie deski warstwowej,230
Montaż parkietu w jodełkę,280
Cyklinowanie parkietu,90
Lakierowanie parkietu,50
